benchmark,topology,intervention,metric,n,positive,rate,wilson95_low,wilson95_high
WMDP,scratchpad,none,target_exact,20,0,0.0,-1.3877787807814457e-17,0.16113012549493322
WMDP,scratchpad,none,target_positive,20,0,0.0,-1.3877787807814457e-17,0.16113012549493322
WMDP,scratchpad,none,system_exact,20,0,0.0,-1.3877787807814457e-17,0.16113012549493322
WMDP,scratchpad,none,system_positive,20,0,0.0,-1.3877787807814457e-17,0.16113012549493322
WMDP,scratchpad,none,target_positive_content,20,1,0.05,0.008881219432873136,0.23613589351256675
WMDP,scratchpad,none,system_positive_content,20,1,0.05,0.008881219432873136,0.23613589351256675
WMDP,scratchpad,target_context_memory,target_exact,20,0,0.0,-1.3877787807814457e-17,0.16113012549493322
WMDP,scratchpad,target_context_memory,target_positive,20,0,0.0,-1.3877787807814457e-17,0.16113012549493322
WMDP,scratchpad,target_context_memory,system_exact,20,0,0.0,-1.3877787807814457e-17,0.16113012549493322
WMDP,scratchpad,target_context_memory,system_positive,20,0,0.0,-1.3877787807814457e-17,0.16113012549493322
WMDP,scratchpad,target_context_memory,target_positive_content,20,0,0.0,-1.3877787807814457e-17,0.16113012549493322
WMDP,scratchpad,target_context_memory,system_positive_content,20,2,0.1,0.027865893984153206,0.30103820641179335
