model_id,benchmark,topology,intervention,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
mistral_7b,MUSE-Books,hierarchical,full_inference,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,hierarchical,full_inference,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,hierarchical,full_inference,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,full_inference,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,global_context,drr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,global_context,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,global_context,drr_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,global_context,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,global_context,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,hierarchical,global_context,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,hierarchical,global_context,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,hierarchical,global_context,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,global_context,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,none,drr_target,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,none,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,none,drr_system,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,none,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,none,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,hierarchical,none,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,hierarchical,none,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,hierarchical,none,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,none,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,target_context,drr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,target_context,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,target_context,drr_system,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,target_context,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,target_context,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,hierarchical,target_context,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,hierarchical,target_context,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,hierarchical,target_context,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,target_context,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,target_context_comm,drr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,target_context_comm,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,target_context_comm,drr_system,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,target_context_comm,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,target_context_comm,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,hierarchical,target_context_comm,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,hierarchical,target_context_comm,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,hierarchical,target_context_comm,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,target_context_comm,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,target_context_memory,drr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,target_context_memory,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,target_context_memory,drr_system,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,target_context_memory,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,target_context_memory,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,hierarchical,target_context_memory,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,hierarchical,target_context_memory,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,hierarchical,target_context_memory,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,target_context_memory,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,target_memory,drr_target,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,target_memory,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,target_memory,drr_system,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,target_memory,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,target_memory,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,hierarchical,target_memory,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,hierarchical,target_memory,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,hierarchical,target_memory,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,target_memory,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,target_memory_comm,drr_target,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,target_memory_comm,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,target_memory_comm,drr_system,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,target_memory_comm,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,hierarchical,target_memory_comm,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,hierarchical,target_memory_comm,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,hierarchical,target_memory_comm,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,hierarchical,target_memory_comm,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,hierarchical,target_memory_comm,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,communication,drr_target,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,communication,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,communication,drr_system,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,communication,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,communication,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,independent,communication,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,independent,communication,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,independent,communication,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,communication,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,full_inference,drr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,full_inference,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,full_inference,drr_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,full_inference,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,full_inference,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,independent,full_inference,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,independent,full_inference,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,independent,full_inference,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,full_inference,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,global_context,drr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,global_context,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,global_context,drr_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,global_context,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,global_context,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,independent,global_context,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,independent,global_context,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,independent,global_context,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,global_context,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,none,drr_target,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,none,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,none,drr_system,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,none,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,none,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,independent,none,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,independent,none,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,independent,none,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,none,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,target_context,drr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,target_context,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,target_context,drr_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,target_context,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,target_context,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,independent,target_context,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,independent,target_context,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,independent,target_context,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,target_context,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,target_context_comm,drr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,target_context_comm,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,target_context_comm,drr_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,target_context_comm,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,target_context_comm,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,independent,target_context_comm,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,independent,target_context_comm,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,independent,target_context_comm,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,target_context_comm,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,target_context_memory,drr_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,target_context_memory,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,target_context_memory,drr_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,target_context_memory,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,target_context_memory,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
mistral_7b,MUSE-Books,independent,target_context_memory,chain_length,1,4.0,,,4.0,4.0,4.0,4.0,4.0,,
mistral_7b,MUSE-Books,independent,target_context_memory,target_agent_position,1,2.0,,,2.0,2.0,2.0,2.0,2.0,,
mistral_7b,MUSE-Books,independent,target_context_memory,peer_evidence,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,target_context_memory,raw_complete,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,target_memory,drr_target,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,target_memory,retention_target,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,target_memory,drr_system,1,1.0,,,1.0,1.0,1.0,1.0,1.0,,
mistral_7b,MUSE-Books,independent,target_memory,retention_system,1,0.0,,,0.0,0.0,0.0,0.0,0.0,,
mistral_7b,MUSE-Books,independent,target_memory,n_scored_probes,1,10.0,,,10.0,10.0,10.0,10.0,10.0,,
