method,model_id,benchmark,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
gradient_ascent,qwen3_4b,TOFU,size_mib,3,2253.826600074768,1.513911043776278e-05,8.740569486533815e-06,2253.826594352722,2253.826591491699,2253.826605796814,2253.8265886306763,2253.8266172409058,2253.8265829432517,2253.8266172062845
gradient_ascent,qwen3_8b,MUSE-News,forget_loss_first,1,7.346629619598389,,,7.346629619598389,7.346629619598389,7.346629619598389,7.346629619598389,7.346629619598389,,
gradient_ascent,qwen3_8b,MUSE-News,forget_loss_last,1,8.155942916870117,,,8.155942916870117,8.155942916870117,8.155942916870117,8.155942916870117,8.155942916870117,,
gradient_ascent,qwen3_8b,MUSE-News,objective_first,1,-7.346629619598389,,,-7.346629619598389,-7.346629619598389,-7.346629619598389,-7.346629619598389,-7.346629619598389,,
gradient_ascent,qwen3_8b,MUSE-News,objective_last,1,-8.155942916870117,,,-8.155942916870117,-8.155942916870117,-8.155942916870117,-8.155942916870117,-8.155942916870117,,
gradient_ascent,qwen3_8b,MUSE-News,size_mib,1,3846.1000547409058,,,3846.1000547409058,3846.1000547409058,3846.1000547409058,3846.1000547409058,3846.1000547409058,,
gradient_ascent,qwen3_8b,RWKU,forget_loss_first,1,8.992667198181152,,,8.992667198181152,8.992667198181152,8.992667198181152,8.992667198181152,8.992667198181152,,
gradient_ascent,qwen3_8b,RWKU,forget_loss_last,1,6.053867340087891,,,6.053867340087891,6.053867340087891,6.053867340087891,6.053867340087891,6.053867340087891,,
gradient_ascent,qwen3_8b,RWKU,objective_first,1,-8.992667198181152,,,-8.992667198181152,-8.992667198181152,-8.992667198181152,-8.992667198181152,-8.992667198181152,,
gradient_ascent,qwen3_8b,RWKU,objective_last,1,-6.053867340087891,,,-6.053867340087891,-6.053867340087891,-6.053867340087891,-6.053867340087891,-6.053867340087891,,
gradient_ascent,qwen3_8b,RWKU,size_mib,1,3846.1000366210938,,,3846.1000366210938,3846.1000366210938,3846.1000366210938,3846.1000366210938,3846.1000366210938,,
gradient_ascent,qwen3_8b,TOFU,forget_loss_first,3,4.389689922332764,0.22908784522397857,0.13226392910813536,4.501246929168701,4.313719272613525,4.521439075469971,4.12619161605835,4.54163122177124,4.130452621280819,4.6489272233847085
gradient_ascent,qwen3_8b,TOFU,forget_loss_last,3,4.271209001541138,1.1159522545899914,0.6442953345903013,4.213082313537598,3.69926917552948,4.814085483551025,3.1854560375213623,5.415088653564453,3.008390145744147,5.5340278573381285
gradient_ascent,qwen3_8b,TOFU,objective_first,3,-4.389689922332764,0.22908784522397857,0.13226392910813536,-4.501246929168701,-4.521439075469971,-4.313719272613525,-4.54163122177124,-4.12619161605835,-4.6489272233847085,-4.130452621280819
gradient_ascent,qwen3_8b,TOFU,objective_last,3,-4.271209001541138,1.1159522545899914,0.6442953345903013,-4.213082313537598,-4.814085483551025,-3.69926917552948,-5.415088653564453,-3.1854560375213623,-5.5340278573381285,-3.008390145744147
gradient_ascent,qwen3_8b,TOFU,size_mib,3,3846.1000429789224,9.600110925382933e-06,5.542626627020104e-06,3846.1000442504883,3846.1000385284424,3846.1000480651855,3846.1000328063965,3846.100051879883,3846.1000321153742,3846.1000538424705
lora_grad_diff,qwen3_4b,MUSE-News,forget_loss_first,1,11.854347229003906,,,11.854347229003906,11.854347229003906,11.854347229003906,11.854347229003906,11.854347229003906,,
lora_grad_diff,qwen3_4b,MUSE-News,forget_loss_last,1,23.96046257019043,,,23.96046257019043,23.96046257019043,23.96046257019043,23.96046257019043,23.96046257019043,,
lora_grad_diff,qwen3_4b,MUSE-News,retain_loss_first,1,8.112567901611328,,,8.112567901611328,8.112567901611328,8.112567901611328,8.112567901611328,8.112567901611328,,
lora_grad_diff,qwen3_4b,MUSE-News,retain_loss_last,1,8.127758026123047,,,8.127758026123047,8.127758026123047,8.127758026123047,8.127758026123047,8.127758026123047,,
