run_id,block,model_id,benchmark,unit_id,target_id,target_name,topology,intervention,n_agents,chain_length,target_agent_position,debate_rounds,peer_evidence,comm_threshold,temperature,seed,parameter_method,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system,n_scored_probes,runtime_seconds_log,n_log_occurrences,runtime_seconds,runtime_source,runtime_raw_fallback,model_params_b,seconds_per_probe,aggregate_run_hours
AU000058,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,sequential,target_memory,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,117.3,2,117.3,runner_DONE_log,117.34390306472778,4.0,7.819999999999999,0.03258333333333333
AU000059,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,sequential,communication,4,4,2,2,1.0,0.5,0.0,42,none,0.4,1.0,1.0,1.0,1.0,1.0,15,115.4,2,115.4,runner_DONE_log,115.35350155830383,4.0,7.693333333333333,0.03205555555555556
AU000060,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,sequential,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,121.4,2,121.4,runner_DONE_log,121.35979890823364,4.0,8.093333333333334,0.03372222222222222
AU000061,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,sequential,target_context_comm,4,4,2,2,1.0,0.5,0.0,42,none,0.0,1.0,1.0,0.8,1.0,1.0,15,116.5,2,116.5,runner_DONE_log,116.53499293327332,4.0,7.766666666666667,0.03236111111111111
AU000062,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,sequential,target_memory_comm,4,4,2,2,1.0,0.5,0.0,42,none,0.4,1.0,1.0,1.0,1.0,1.0,15,117.4,2,117.4,runner_DONE_log,117.38145160675049,4.0,7.826666666666667,0.03261111111111111
AU000063,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,sequential,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,0.0,1.0,1.0,1.0,1.0,1.0,15,119.4,2,119.4,runner_DONE_log,119.36199927330017,4.0,7.96,0.03316666666666667
AU000064,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,debate,none,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,456.5,2,456.5,runner_DONE_log,456.45671367645264,4.0,30.433333333333334,0.12680555555555556
AU000065,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,debate,global_context,4,4,2,2,1.0,0.5,0.0,42,none,0.0,1.0,1.0,0.0,0.6,1.0,15,471.3,2,471.3,runner_DONE_log,471.2525255680084,4.0,31.42,0.13091666666666668
AU000066,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,debate,target_context,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,539.9,2,539.9,runner_DONE_log,539.8596506118774,4.0,35.99333333333333,0.14997222222222223
AU000067,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,debate,target_memory,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,487.2,2,487.2,runner_DONE_log,487.16071105003357,4.0,32.48,0.13533333333333333
AU000068,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,debate,communication,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,480.9,2,480.9,runner_DONE_log,480.9281280040741,4.0,32.059999999999995,0.13358333333333333
AU000069,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,debate,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,0.8,1.0,1.0,0.6,1.0,1.0,15,501.2,2,501.2,runner_DONE_log,501.15702509880066,4.0,33.413333333333334,0.13922222222222222
AU000070,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,debate,target_context_comm,4,4,2,2,1.0,0.5,0.0,42,none,0.2,1.0,1.0,1.0,1.0,1.0,15,551.8,2,551.8,runner_DONE_log,551.802885055542,4.0,36.78666666666666,0.15327777777777776
AU000071,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,debate,target_memory_comm,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,504.7,2,504.7,runner_DONE_log,504.72349214553833,4.0,33.64666666666667,0.14019444444444445
AU000072,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,debate,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,0.2,1.0,1.0,0.8,1.0,1.0,15,523.6,2,523.6,runner_DONE_log,523.6078200340271,4.0,34.906666666666666,0.14544444444444446
AU000073,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,scratchpad,none,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,143.1,2,143.1,runner_DONE_log,143.0782573223114,4.0,9.54,0.03975
AU000074,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,scratchpad,global_context,4,4,2,2,1.0,0.5,0.0,42,none,0.0,1.0,1.0,0.0,0.6,1.0,15,147.4,2,147.4,runner_DONE_log,147.36687016487122,4.0,9.826666666666666,0.04094444444444444
AU000075,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,scratchpad,target_context,4,4,2,2,1.0,0.5,0.0,42,none,0.8,1.0,1.0,1.0,1.0,1.0,15,142.4,2,142.4,runner_DONE_log,142.43801856040955,4.0,9.493333333333334,0.03955555555555556
AU000076,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,scratchpad,target_memory,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,142.3,2,142.3,runner_DONE_log,142.32806730270386,4.0,9.486666666666668,0.03952777777777778
AU000077,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,scratchpad,communication,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,146.2,2,146.2,runner_DONE_log,146.2465751171112,4.0,9.746666666666666,0.040611111111111105
AU000078,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,scratchpad,target_context_memory,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,142.8,2,142.8,runner_DONE_log,142.84919595718384,4.0,9.520000000000001,0.03966666666666667
AU000079,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,scratchpad,target_context_comm,4,4,2,2,1.0,0.5,0.0,42,none,0.4,1.0,1.0,0.4,1.0,1.0,15,153.9,2,153.9,runner_DONE_log,153.9091992378235,4.0,10.26,0.04275
AU000080,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,scratchpad,target_memory_comm,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,147.4,2,147.4,runner_DONE_log,147.4353210926056,4.0,9.826666666666666,0.04094444444444444
AU000081,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,scratchpad,full_inference,4,4,2,2,1.0,0.5,0.0,42,none,0.0,1.0,1.0,0.6,1.0,1.0,15,146.2,2,146.2,runner_DONE_log,146.2441849708557,4.0,9.746666666666666,0.040611111111111105
AU000082,main,qwen3_4b,TOFU,tofu_forget05,forget05,forget05,hierarchical,none,4,4,2,2,1.0,0.5,0.0,42,none,1.0,1.0,1.0,1.0,1.0,1.0,15,131.2,2,131.2,runner_DONE_log,131.21853637695312,4.0,8.746666666666666,0.03644444444444444
