block,parameter_method,model_id,benchmark,topology,intervention,drr_target_mean,drr_target_std,drr_target_count,irr_target_mean,irr_target_std,irr_target_count,retention_target_mean,retention_target_std,retention_target_count,drr_system_mean,drr_system_std,drr_system_count,irr_system_mean,irr_system_std,irr_system_count,retention_system_mean,retention_system_std,retention_system_count
ablation_peer_evidence,none,qwen3_8b,TOFU,debate,full_inference,0.2888888888888889,0.3179797338056486,9,0.4222222222222222,0.4409585518440984,9,1.0,0.0,9,0.17777777777777778,0.3666666666666667,9,0.2888888888888889,0.43716256828680006,9,1.0,0.0,9
ablation_peer_evidence,none,qwen3_8b,TOFU,debate,target_context_memory,0.35555555555555557,0.3844187531556932,9,0.4444444444444444,0.4333333333333333,9,1.0,0.0,9,0.2,0.4,9,0.2888888888888889,0.43716256828680006,9,1.0,0.0,9
ablation_peer_evidence,none,qwen3_8b,TOFU,scratchpad,full_inference,0.2,0.24494897427831783,9,0.2888888888888889,0.4371625682868001,9,1.0,0.0,9,0.2222222222222222,0.44095855184409843,9,0.3111111111111111,0.4702245326555295,9,1.0,0.0,9
ablation_peer_evidence,none,qwen3_8b,TOFU,scratchpad,target_context_memory,0.4222222222222222,0.42946995755750417,9,0.35555555555555557,0.4876246279442598,9,1.0,0.0,9,0.2222222222222222,0.44095855184409843,9,0.3111111111111111,0.4702245326555295,9,1.0,0.0,9
ablation_peer_evidence,none,qwen3_8b,TOFU,sequential,full_inference,0.2888888888888889,0.348010216963685,9,0.35555555555555557,0.48762462794425976,9,1.0,0.0,9,0.2222222222222222,0.44095855184409843,9,0.3333333333333333,0.5,9,1.0,0.0,9
ablation_peer_evidence,none,qwen3_8b,TOFU,sequential,target_context_memory,0.37777777777777777,0.4055175020198813,9,0.35555555555555557,0.48762462794425976,9,1.0,0.0,9,0.2222222222222222,0.44095855184409843,9,0.3333333333333333,0.5,9,1.0,0.0,9
ablation_target_position,none,qwen3_8b,MUSE-News,sequential,full_inference,0.0,0.0,3,,,0,0.0,0.0,3,0.4666666666666666,0.5033222956847166,3,,,0,1.0,0.0,3
ablation_target_position,none,qwen3_8b,MUSE-News,sequential,target_context_memory,0.6666666666666666,0.5773502691896258,3,,,0,0.0,0.0,3,0.7999999999999999,0.3464101615137755,3,,,0,1.0,0.0,3
ablation_target_position,none,qwen3_8b,RWKU,sequential,full_inference,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3,1.0,0.0,3,0.9333333333333332,0.11547005383792512,3,1.0,0.0,3
ablation_target_position,none,qwen3_8b,RWKU,sequential,target_context_memory,1.0,0.0,3,0.6666666666666666,0.5773502691896258,3,1.0,0.0,3,1.0,0.0,3,0.9333333333333332,0.11547005383792512,3,1.0,0.0,3
