contrast,A,B,metric,n_pairs,mean_A,mean_B,mean_diff_B_minus_A,median_diff,bootstrap95_low,bootstrap95_high,wilcoxon_p,model_id,benchmark,topology,wilcoxon_p_holm
communication_defense,target_context_memory,full_inference,irr_target,39,0.1999999999999999,0.1025641025641025,-0.0974358974358974,0.0,-0.158974358974359,-0.041025641025641,0.0047532292148987,,,debate,1.0
communication_defense,target_context_memory,full_inference,retention_target,45,0.2177777777777778,0.2044444444444444,-0.0133333333333333,0.0,-0.0311111111111111,0.0,0.1024704348597493,,,debate,1.0
communication_defense,target_context_memory,full_inference,drr_system,45,0.3155555555555555,0.2933333333333333,-0.0222222222222222,0.0,-0.0622222222222222,0.0133333333333333,0.2030917875771678,,,debate,1.0
communication_defense,target_context_memory,full_inference,irr_system,39,0.1743589743589743,0.1692307692307692,-0.0051282051282051,0.0,-0.0256410256410256,0.0153846153846153,0.3961439091520741,,,debate,1.0
communication_defense,target_context_memory,full_inference,retention_system,45,0.2444444444444444,0.2622222222222222,0.0177777777777777,0.0,0.0,0.04,0.1024704348597493,,,debate,1.0
communication_defense,target_context_memory,full_inference,drr_target,45,0.0577777777777777,0.0577777777777777,0.0,0.0,0.0,0.0,1.0,,,hierarchical,1.0
communication_defense,target_context_memory,full_inference,irr_target,39,0.0358974358974358,0.0358974358974358,0.0,0.0,0.0,0.0,1.0,,,hierarchical,1.0
communication_defense,target_context_memory,full_inference,retention_target,45,0.5066666666666667,0.5066666666666667,0.0,0.0,0.0,0.0,1.0,,,hierarchical,1.0
communication_defense,target_context_memory,full_inference,drr_system,45,0.3644444444444444,0.3644444444444444,0.0,0.0,0.0,0.0,1.0,,,hierarchical,1.0
communication_defense,target_context_memory,full_inference,irr_system,39,0.2205128205128205,0.2205128205128205,0.0,0.0,0.0,0.0,1.0,,,hierarchical,1.0
communication_defense,target_context_memory,full_inference,retention_system,45,0.32,0.32,0.0,0.0,0.0,0.0,1.0,,,hierarchical,1.0
communication_defense,target_context_memory,full_inference,drr_target,45,0.0622222222222222,0.0622222222222222,0.0,0.0,0.0,0.0,1.0,,,independent,1.0
communication_defense,target_context_memory,full_inference,irr_target,39,0.0461538461538461,0.0461538461538461,0.0,0.0,0.0,0.0,1.0,,,independent,1.0
communication_defense,target_context_memory,full_inference,retention_target,45,0.5688888888888889,0.5688888888888889,0.0,0.0,0.0,0.0,1.0,,,independent,1.0
communication_defense,target_context_memory,full_inference,drr_system,45,0.0622222222222222,0.0622222222222222,0.0,0.0,0.0,0.0,1.0,,,independent,1.0
communication_defense,target_context_memory,full_inference,irr_system,39,0.0461538461538461,0.0461538461538461,0.0,0.0,0.0,0.0,1.0,,,independent,1.0
communication_defense,target_context_memory,full_inference,retention_system,45,0.5688888888888889,0.5688888888888889,0.0,0.0,0.0,0.0,1.0,,,independent,1.0
communication_defense,target_context_memory,full_inference,drr_target,45,0.4133333333333333,0.0933333333333333,-0.3199999999999999,0.0,-0.4488888888888889,-0.2044444444444444,3.9489086057135424e-05,,,scratchpad,0.0152822763041114
communication_defense,target_context_memory,full_inference,irr_target,39,0.3743589743589743,0.1948717948717948,-0.1794871794871795,0.0,-0.2769230769230769,-0.0974358974358974,0.0006289394206546,,,scratchpad,0.2289339491182763
communication_defense,target_context_memory,full_inference,retention_target,45,0.5244444444444444,0.5333333333333333,0.0088888888888888,0.0,-0.0311111111111111,0.0577777777777777,0.9025838126526866,,,scratchpad,1.0
communication_defense,target_context_memory,full_inference,drr_system,45,0.431111111111111,0.4088888888888888,-0.0222222222222222,0.0,-0.0755555555555555,0.0267777777777771,0.5505327476074469,,,scratchpad,1.0
communication_defense,target_context_memory,full_inference,irr_system,39,0.358974358974359,0.3282051282051282,-0.0307692307692307,0.0,-0.082051282051282,0.0102564102564102,0.1189073247761099,,,scratchpad,1.0
communication_defense,target_context_memory,full_inference,retention_system,45,0.4666666666666667,0.4577777777777777,-0.0088888888888888,0.0,-0.0266666666666666,0.0088888888888888,0.4496917979688909,,,scratchpad,1.0
communication_defense,target_context_memory,full_inference,drr_target,45,0.3466666666666667,0.0533333333333333,-0.2933333333333333,0.0,-0.4399999999999999,-0.1733333333333333,0.0001974859699742,,,sequential,0.0742547247103048
communication_defense,target_context_memory,full_inference,irr_target,39,0.2923076923076923,0.1743589743589743,-0.1179487179487179,0.0,-0.2103846153846153,-0.0408974358974365,0.0146366150895156,,,sequential,1.0
communication_defense,target_context_memory,full_inference,retention_target,45,0.3733333333333333,0.3866666666666666,0.0133333333333333,0.0,-0.0088888888888888,0.04,0.2355589199240795,,,sequential,1.0
communication_defense,target_context_memory,full_inference,drr_system,45,0.4044444444444445,0.3644444444444444,-0.04,0.0,-0.0977777777777777,0.0,0.0782481864330958,,,sequential,1.0
communication_defense,target_context_memory,full_inference,irr_system,39,0.2666666666666667,0.2461538461538461,-0.0205128205128205,0.0,-0.0666666666666666,0.0153846153846153,0.3430278273111818,,,sequential,1.0
communication_defense,target_context_memory,full_inference,retention_system,45,0.3066666666666667,0.3022222222222223,-0.0044444444444444,0.0,-0.0133333333333333,0.0,0.3173105078629141,,,sequential,1.0
total_defense,none,full_inference,drr_target,45,0.3022222222222223,0.0266666666666666,-0.2755555555555556,0.0,-0.4177777777777777,-0.1466666666666666,0.000419226599451,,,debate,0.1542753885979807
