run_id,block,model_id,benchmark,unit_id,topology,intervention,parameter_method,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system,n_scored_probes
AU000165,main,qwen3_4b,MUSE-News,muse_news,scratchpad,target_context,none,0.0,,0.0,0.0,,0.8,10
AU000166,main,qwen3_4b,MUSE-News,muse_news,scratchpad,target_memory,none,0.0,,0.0,0.0,,0.8,10
AU000167,main,qwen3_4b,MUSE-News,muse_news,scratchpad,communication,none,0.0,,0.0,0.0,,0.8,10
AU000168,main,qwen3_4b,MUSE-News,muse_news,scratchpad,target_context_memory,none,0.0,,0.0,0.0,,0.8,10
AU000169,main,qwen3_4b,MUSE-News,muse_news,scratchpad,target_context_comm,none,0.0,,0.0,0.0,,0.8,10
AU000170,main,qwen3_4b,MUSE-News,muse_news,scratchpad,target_memory_comm,none,0.0,,0.0,0.0,,0.8,10
AU000171,main,qwen3_4b,MUSE-News,muse_news,scratchpad,full_inference,none,0.0,,0.0,0.0,,0.8,10
AU000172,main,qwen3_4b,MUSE-News,muse_news,hierarchical,none,none,0.0,,0.0,0.0,,0.2,10
AU000173,main,qwen3_4b,MUSE-News,muse_news,hierarchical,global_context,none,0.0,,0.2,0.0,,0.4,10
AU000174,main,qwen3_4b,MUSE-News,muse_news,hierarchical,target_context,none,0.0,,0.2,0.0,,0.2,10
AU000175,main,qwen3_4b,MUSE-News,muse_news,hierarchical,target_memory,none,0.0,,0.0,0.0,,0.2,10
AU000176,main,qwen3_4b,MUSE-News,muse_news,hierarchical,communication,none,0.0,,0.0,0.0,,0.2,10
AU000177,main,qwen3_4b,MUSE-News,muse_news,hierarchical,target_context_memory,none,0.0,,0.2,0.0,,0.2,10
AU000178,main,qwen3_4b,MUSE-News,muse_news,hierarchical,target_context_comm,none,0.0,,0.2,0.0,,0.2,10
AU000179,main,qwen3_4b,MUSE-News,muse_news,hierarchical,target_memory_comm,none,0.0,,0.0,0.0,,0.2,10
AU000180,main,qwen3_4b,MUSE-News,muse_news,hierarchical,full_inference,none,0.0,,0.2,0.0,,0.2,10
AU000181,main,qwen3_4b,MUSE-Books,muse_books,independent,none,none,1.0,,0.0,1.0,,0.0,10
AU000182,main,qwen3_4b,MUSE-Books,muse_books,independent,global_context,none,0.0,,0.4,0.0,,0.4,10
AU000183,main,qwen3_4b,MUSE-Books,muse_books,independent,target_context,none,0.0,,0.4,0.0,,0.4,10
AU000184,main,qwen3_4b,MUSE-Books,muse_books,independent,target_memory,none,1.0,,0.0,1.0,,0.0,10
AU000185,main,qwen3_4b,MUSE-Books,muse_books,independent,communication,none,1.0,,0.0,1.0,,0.0,10
AU000186,main,qwen3_4b,MUSE-Books,muse_books,independent,target_context_memory,none,0.0,,0.2,0.0,,0.2,10
AU000187,main,qwen3_4b,MUSE-Books,muse_books,independent,target_context_comm,none,0.0,,0.4,0.0,,0.4,10
AU000188,main,qwen3_4b,MUSE-Books,muse_books,independent,target_memory_comm,none,1.0,,0.0,1.0,,0.0,10
AU000189,main,qwen3_4b,MUSE-Books,muse_books,independent,full_inference,none,0.0,,0.2,0.0,,0.2,10
AU000190,main,qwen3_4b,MUSE-Books,muse_books,sequential,none,none,1.0,,0.0,1.0,,0.0,10
AU000191,main,qwen3_4b,MUSE-Books,muse_books,sequential,global_context,none,0.0,,0.4,0.0,,0.4,10
AU000192,main,qwen3_4b,MUSE-Books,muse_books,sequential,target_context,none,1.0,,0.0,1.0,,0.0,10
AU000193,main,qwen3_4b,MUSE-Books,muse_books,sequential,target_memory,none,1.0,,0.0,1.0,,0.0,10
AU000194,main,qwen3_4b,MUSE-Books,muse_books,sequential,communication,none,1.0,,0.0,1.0,,0.0,10
AU000195,main,qwen3_4b,MUSE-Books,muse_books,sequential,target_context_memory,none,1.0,,0.0,1.0,,0.0,10
AU000196,main,qwen3_4b,MUSE-Books,muse_books,sequential,target_context_comm,none,0.0,,0.0,0.6,,0.0,10
AU000197,main,qwen3_4b,MUSE-Books,muse_books,sequential,target_memory_comm,none,1.0,,0.0,1.0,,0.0,10
AU000198,main,qwen3_4b,MUSE-Books,muse_books,sequential,full_inference,none,0.0,,0.0,1.0,,0.0,10
AU000199,main,qwen3_4b,MUSE-Books,muse_books,debate,none,none,0.4,,0.0,0.4,,0.0,10
AU000200,main,qwen3_4b,MUSE-Books,muse_books,debate,global_context,none,0.0,,0.0,0.0,,0.0,10
AU000201,main,qwen3_4b,MUSE-Books,muse_books,debate,target_context,none,0.0,,0.0,0.0,,0.0,10
AU000202,main,qwen3_4b,MUSE-Books,muse_books,debate,target_memory,none,0.4,,0.0,0.4,,0.0,10
AU000203,main,qwen3_4b,MUSE-Books,muse_books,debate,communication,none,0.4,,0.0,0.4,,0.0,10
AU000204,main,qwen3_4b,MUSE-Books,muse_books,debate,target_context_memory,none,0.0,,0.0,0.0,,0.0,10
AU000205,main,qwen3_4b,MUSE-Books,muse_books,debate,target_context_comm,none,0.0,,0.0,0.0,,0.0,10
AU000206,main,qwen3_4b,MUSE-Books,muse_books,debate,target_memory_comm,none,0.4,,0.0,0.4,,0.0,10
AU000207,main,qwen3_4b,MUSE-Books,muse_books,debate,full_inference,none,0.0,,0.0,0.0,,0.0,10
AU000208,main,qwen3_4b,MUSE-Books,muse_books,scratchpad,none,none,1.0,,0.0,1.0,,0.0,10
AU000209,main,qwen3_4b,MUSE-Books,muse_books,scratchpad,global_context,none,0.0,,0.0,0.0,,0.0,10
AU000210,main,qwen3_4b,MUSE-Books,muse_books,scratchpad,target_context,none,1.0,,0.0,1.0,,0.0,10
AU000211,main,qwen3_4b,MUSE-Books,muse_books,scratchpad,target_memory,none,1.0,,0.0,1.0,,0.0,10
AU000212,main,qwen3_4b,MUSE-Books,muse_books,scratchpad,communication,none,1.0,,0.0,1.0,,0.0,10
AU000213,main,qwen3_4b,MUSE-Books,muse_books,scratchpad,target_context_memory,none,1.0,,0.0,1.0,,0.0,10
AU000214,main,qwen3_4b,MUSE-Books,muse_books,scratchpad,target_context_comm,none,0.0,,0.0,1.0,,0.0,10
AU000215,main,qwen3_4b,MUSE-Books,muse_books,scratchpad,target_memory_comm,none,1.0,,0.0,1.0,,0.0,10
AU000216,main,qwen3_4b,MUSE-Books,muse_books,scratchpad,full_inference,none,0.0,,0.0,1.0,,0.0,10
AU000217,main,qwen3_4b,MUSE-Books,muse_books,hierarchical,none,none,1.0,,0.0,0.6,,0.0,10
AU000218,main,qwen3_4b,MUSE-Books,muse_books,hierarchical,global_context,none,0.0,,0.4,0.0,,0.4,10
