intervention,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
target_context_comm,n_scored_probes,285,14.263157894736842,1.7754816425436895,0.10517045584426243,15.0,15.0,15.0,10.0,15.0,14.057023801282089,14.469291988191596
target_context_memory,drr_target,832,0.23485576923076923,0.38226190877209293,0.013252547237831912,0.0,0.0,0.4,0.0,1.0,0.20888077664461868,0.2608307618169198
target_context_memory,irr_target,685,0.2858394160583942,0.413642785857624,0.01580447845113817,0.0,0.0,0.6,0.0,1.0,0.2548626382941634,0.316816193822625
target_context_memory,retention_target,820,0.4951219512195122,0.44576488681376686,0.015566785087051586,0.4,0.0,1.0,0.0,1.0,0.46461105244889106,0.5256328499901333
target_context_memory,drr_system,832,0.3125,0.42569402524437727,0.014758284958435232,0.0,0.0,0.8,0.0,1.0,0.28357376148146696,0.34142623851853304
target_context_memory,irr_system,685,0.34861313868613136,0.4416065541378795,0.01687291911614723,0.0,0.0,1.0,0.0,1.0,0.3155422172184828,0.3816840601537799
target_context_memory,retention_system,820,0.4619512195121951,0.47012439323492466,0.016417455950778096,0.2,0.0,1.0,0.0,1.0,0.42977300584867,0.49412943317572017
target_context_memory,n_scored_probes,832,14.044471153846153,2.1427274833162886,0.07428570971579604,15.0,15.0,15.0,5.0,15.0,13.898871162803193,14.190071144889114
target_memory,drr_target,225,0.30666666666666664,0.41576092031014994,0.02771739468734333,0.0,0.0,0.8,0.0,1.0,0.2523405730794737,0.36099276025385957
target_memory,irr_target,195,0.24205128205128207,0.40164083231332137,0.028762097404114714,0.0,0.0,0.4,0.0,1.0,0.18567757113921723,0.2984249929633469
target_memory,retention_target,225,0.3164444444444445,0.41805862731561455,0.027870575154374303,0.0,0.0,0.8,0.0,1.0,0.26181811714187087,0.3710707717470181
target_memory,drr_system,225,0.30666666666666664,0.41576092031015,0.027717394687343334,0.0,0.0,0.8,0.0,1.0,0.2523405730794737,0.36099276025385957
target_memory,irr_system,195,0.238974358974359,0.3980868868001577,0.02850759407976449,0.0,0.0,0.30000000000000004,0.0,1.0,0.18309947457802062,0.2948492433706974
target_memory,retention_system,225,0.2915555555555555,0.4144378483665918,0.02762918989110612,0.0,0.0,0.8,0.0,1.0,0.23740234336898752,0.3457087677421235
target_memory,n_scored_probes,225,14.333333333333334,1.703462859673117,0.11356419064487447,15.0,15.0,15.0,10.0,15.0,14.11074751966938,14.555919146997288
target_memory_comm,drr_target,225,0.3022222222222222,0.41408725405191354,0.027605816936794238,0.0,0.0,0.8,0.0,1.0,0.24811482102610552,0.35632962341833896
target_memory_comm,irr_target,195,0.24307692307692308,0.40332480225519857,0.02888268899639607,0.0,0.0,0.4,0.0,1.0,0.18646685264398677,0.2996869935098594
target_memory_comm,retention_target,225,0.32622222222222225,0.42434449916106365,0.028289633277404243,0.0,0.0,0.8,0.0,1.0,0.27077454099850995,0.38166990344593454
target_memory_comm,drr_system,225,0.312,0.41948948565062816,0.02796596571004188,0.0,0.0,0.8,0.0,1.0,0.25718670720831793,0.36681329279168207
target_memory_comm,irr_system,195,0.23179487179487182,0.39010223213916334,0.027935801083083855,0.0,0.0,0.30000000000000004,0.0,1.0,0.17704070167202746,0.2865490419177162
target_memory_comm,retention_system,225,0.2915555555555555,0.4144378483665918,0.02762918989110612,0.0,0.0,0.8,0.0,1.0,0.23740234336898752,0.3457087677421235
target_memory_comm,n_scored_probes,225,14.333333333333334,1.703462859673117,0.11356419064487447,15.0,15.0,15.0,10.0,15.0,14.11074751966938,14.555919146997288
