model_id,topology,intervention,metric,n,mean,std,sem,median,q25,q75,min,max,ci95_low,ci95_high
qwen25coder_14b,scratchpad,full_inference,drr_target,15,0.06666666666666667,0.20930724738891346,0.05404289889185184,0.0,0.0,0.0,0.0,0.8,-0.03925741516136294,0.17259074849469627
qwen25coder_14b,scratchpad,full_inference,irr_target,13,0.10769230769230768,0.27827306272059,0.07717906124765338,0.0,0.0,0.0,0.0,1.0,-0.043578652353092925,0.2589632677377083
qwen25coder_14b,scratchpad,full_inference,retention_target,15,0.6400000000000001,0.4420730385678044,0.11414276774536103,1.0,0.2,1.0,0.0,1.0,0.41628017521909255,0.8637198247809077
qwen25coder_14b,scratchpad,full_inference,drr_system,15,0.24000000000000002,0.4084815085865489,0.1054694719992924,0.0,0.0,0.30000000000000004,0.0,1.0,0.033279834881386944,0.4467201651186131
qwen25coder_14b,scratchpad,full_inference,irr_system,13,0.3230769230769231,0.4284737373395756,0.11883723308980994,0.0,0.0,0.6,0.0,1.0,0.09015594622089562,0.5559978999329506
qwen25coder_14b,scratchpad,full_inference,retention_system,15,0.21333333333333335,0.38889342400983745,0.100411850309312,0.0,0.0,0.2,0.0,1.0,0.016526106727081824,0.41014055993958487
qwen25coder_14b,scratchpad,full_inference,n_scored_probes,15,14.333333333333334,1.7593288763724917,0.4542567625794978,15.0,15.0,15.0,10.0,15.0,13.442990078677518,15.22367658798915
qwen25coder_14b,scratchpad,none,drr_target,15,0.32,0.44593401177432385,0.1151396667406279,0.0,0.0,0.8,0.0,1.0,0.09432625318836935,0.5456737468116306
qwen25coder_14b,scratchpad,none,irr_target,13,0.29230769230769227,0.4590961018885161,0.12733034890189884,0.0,0.0,0.8,0.0,1.0,0.042740208459970536,0.541875176155414
qwen25coder_14b,scratchpad,none,retention_target,15,0.5733333333333335,0.46516766050635155,0.12010577348902433,0.8,0.0,1.0,0.0,1.0,0.3379260172948458,0.8087406493718212
